ID,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,UOM,GHG/Unit,GHG Conversion Factor 2022
1,Scope 1,Fuels,Liquid fuels,Gas oil,,,litres,kg CO2e,2.75857
1,Scope 1,Fuels,Liquid fuels,Gas oil,,,litres,kg CO2e of CO2,2.72417
1,Scope 1,Fuels,Liquid fuels,Gas oil,,,litres,kg CO2e of CH4,0.00281
1,Scope 1,Fuels,Liquid fuels,Gas oil,,,litres,kg CO2e of N2O,0.03159
1,Scope 1,Fuels,Liquid fuels,Gas oil,,,kWh (Net CV),kg CO2e,0.27319
1,Scope 1,Fuels,Liquid fuels,Gas oil,,,kWh (Net CV),kg CO2e of CO2,0.26978
1,Scope 1,Fuels,Liquid fuels,Gas oil,,,kWh (Net CV),kg CO2e of CH4,0.00028
1,Scope 1,Fuels,Liquid fuels,Gas oil,,,kWh (Net CV),kg CO2e of N2O,0.00313
1,Scope 1,Fuels,Liquid fuels,Gas oil,,,kWh (Gross CV),kg CO2e,0.25679
1,Scope 1,Fuels,Liquid fuels,Gas oil,,,kWh (Gross CV),kg CO2e of CO2,0.25359
1,Scope 1,Fuels,Liquid fuels,Gas oil,,,kWh (Gross CV),kg CO2e of CH4,0.00026
1,Scope 1,Fuels,Liquid fuels,Gas oil,,,kWh (Gross CV),kg CO2e of N2O,0.00294
1,Scope 1,Fuels,Liquid fuels,Lubricants,,,tonnes,kg CO2e,3181.44
1,Scope 1,Fuels,Liquid fuels,Lubricants,,,tonnes,kg CO2e of CO2,3171.09
1,Scope 1,Fuels,Liquid fuels,Lubricants,,,tonnes,kg CO2e of CH4,3.06
1,Scope 1,Fuels,Liquid fuels,Lubricants,,,tonnes,kg CO2e of N2O,7.29
1,Scope 1,Fuels,Liquid fuels,Lubricants,,,litres,kg CO2e,2.74972
1,Scope 1,Fuels,Liquid fuels,Lubricants,,,litres,kg CO2e of CO2,2.74078
1,Scope 1,Fuels,Liquid fuels,Lubricants,,,litres,kg CO2e of CH4,0.00264
1,Scope 1,Fuels,Liquid fuels,Lubricants,,,litres,kg CO2e of N2O,0.0063
1,Scope 1,Fuels,Liquid fuels,Lubricants,,,kWh (Net CV),kg CO2e,0.28104
1,Scope 1,Fuels,Liquid fuels,Lubricants,,,kWh (Net CV),kg CO2e of CO2,0.28013
1,Scope 1,Fuels,Liquid fuels,Lubricants,,,kWh (Net CV),kg CO2e of CH4,0.00027
1,Scope 1,Fuels,Liquid fuels,Lubricants,,,kWh (Net CV),kg CO2e of N2O,0.00064
1,Scope 1,Fuels,Liquid fuels,Lubricants,,,kWh (Gross CV),kg CO2e,0.26418
